id1 id2 k_ibd1 k_ibd2 n predicted_degree most_probable probability
HMB025 HMB773 0.4374 0.0351 63.0 2nd 2nd 0.9071509281814475
HMB025 HMB775 0.2305 0.0047 46.0 4th 4th 0.6447937509846926
HMB025 HMB776 0.2721 0.0047 42.0 3rd 3rd 0.8401331340728516
HMB025 HMB779 0.1978 0.0015 42.0 4th 4th 0.9184438144851409
HMB025 HMB780 0.253 0.0 45.0 3rd 3rd 0.6334253353405116
HMB025 HMB866 0.3862 0.0067 64.0 3rd 3rd 0.9738770383874635
HMB025 HMB868 0.3415 0.0083 57.0 3rd 3rd 0.9956097706196911
HMB025 HMB869 0.333 0.0027 63.0 3rd 3rd 0.9927319899101826
HMB025 HMB999 0.2738 0.0061 58.0 3rd 3rd 0.854984246933776
HMB025 HMB1047 0.9817 0.0146 22.0 PO PO 1.0
HMB025 HMB1050 0.9725 0.0249 22.0 PO PO 1.0
HMB025 HMB1051 0.9685 0.0311 22.0 PO PO 1.0
HMB025 HMB2101 0.3255 0.0032 58.0 3rd 3rd 0.9892958720393141
HMB025 HMB2102 0.3493 0.0097 61.0 3rd 3rd 0.9967702325818844
HMB025 HMB2183 0.524 0.0066 51.0 2nd PHS 0.925872172824265
HMB025 HMB2184 0.3363 0.0026 46.0 3rd 3rd 0.993858349913354
HMB025 HMB2192 0.5261 0.0144 53.0 2nd PHS 0.840501643657894
HMB025 HMB2194 0.6096 0.0128 47.0 2nd PHS 0.9773438285690846
HMB025 HMB3011 0.3261 0.0042 50.0 3rd 3rd 0.9897952570928762
HMB025 HMB3014 0.2431 0.0 51.0 3rd 3rd 0.5025462451575241
HMB025 HMB3015 0.2508 0.0 55.0 3rd 3rd 0.6053150144281982
HMB025 HMB3022 0.5616 0.0108 59.0 2nd 2nd 0.9999997444367829
HMB025 HMB3043 0.508 0.0062 63.0 2nd 2nd 0.9999150519576625
HMB025 HMB3070 0.9614 0.0344 22.0 PO PO 1.0
HMB026 HMB120 0.9825 0.0134 22.0 PO PO 1.0
HMB026 HMB121 0.97 0.0263 22.0 PO PO 1.0
HMB026 HMB124 0.983 0.0149 22.0 PO PO 1.0
